5010,Ismajli,Ismajli Ardian,D,Dc,5,5,5,5,Empoli,9,9,destro,Albania;Kosovo,30/09/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ISMAJLI.png?v=35,0,5.5,5.5
393,Luperto,Luperto Sebastiano,D,Dc,7,8,7,8,Empoli,10,10,sinistro,Italia,06/09/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/LUPERTO.png?v=35,0,5.33,5.33
144,Tonelli,Tonelli Lorenzo,D,Dc,1,1,1,1,Empoli,2,2,destro,Italia,17/01/1990 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/TONELLI.png?v=35,0,0.0,0.0
4374,Walukiewicz,Walukiewicz Sebastian,D,Dc,2,3,2,3,Empoli,4,4,destro,Polonia,05/04/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/WALUKIEWICZ.png?v=35,0,5.0,5.0
5480,Ebuehi,Ebuehi Tyronne,D,Dd;E,10,11,10,11,Empoli,17,17,destro,Nigeria;Olanda,16/12/1995 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/EBUEHI.png?v=35,0,5.25,5.25
5450,Stojanovic,Stojanovic Peter,D,Dd;E,3,3,3,3,Empoli,5,5,destro,Slovenia,07/10/1995 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/STOJANOVIC.png?v=35,1,0.0,0.0
5804,Cacace,Cacace Liberato,D,Ds;E,2,3,2,3,Empoli,8,8,sinistro,Nuova Zelanda;Italia,27/09/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/CACACE.png?v=35,0,5.25,5.0
770,Pezzella Giu.,Pezzella Giuseppe,D,Ds;E,5,5,5,5,Empoli,5,5,sinistro,Italia,29/11/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/PEZZELLA-GIU.png?v=35,0,5.75,5.75
27,Grassi,Grassi Alberto,C,M,5,5,5,5,Empoli,6,8,destro,Italia,07/03/1995 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/GRASSI.png?v=35,0,5.75,5.5
6203,Belardinelli,Belardinelli Luca,C,M;C,1,2,1,2,Empoli,3,3,destro,Italia,14/03/2001 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,0,0.0,0.0
6009,Degli Innocenti,Degli Innocenti Duccio,C,M;C,1,1,1,1,Empoli,2,2,destro,Italia,28/04/2003 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,1,0.0,0.0
2161,Haas,Haas Nicolas,C,M;C,3,4,4,5,Empoli,4,3,destro,Svizzera,23/01/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/HAAS.png?v=35,1,5.5,5.0
4965,Marin,Marin Razvan,C,M;C,8,8,9,9,Empoli,14,16,destro,Romania,23/05/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/MARIN.png?v=35,0,5.83,5.83
5884,Ranocchia F.,Ranocchia Filippo,C,C,4,5,3,4,Empoli,6,6,ambidestro,Italia,14/01/2001 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/RANOCCHIA-F.png?v=35,0,0.0,0.0
6010,Fazzini,Fazzini Jacopo,C,C;T,5,6,5,6,Empoli,10,10,destro,Italia,16/03/2003 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,0,5.5,5.5
4498,Henderson L.,Henderson Liam,C,C;T,3,3,3,3,Empoli,5,5,destro,Scozia,25/04/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/HENDERSON.png?v=35,1,0.0,0.0
4992,Gyasi,Gyasi Emmanuel,C,W;A,7,8,7,8,Empoli,8,8,destro,Ghana;Italia,11/01/1994 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/GYASI.png?v=35,0,5.25,5.25
5823,Baldanzi,Baldanzi Tommaso,C,T;A,14,15,13,14,Empoli,39,36,sinistro,Italia,23/03/2003 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/BALDANZI.png?v=35,0,5.83,5.67
4896,Maldini,Maldini Daniel,C,T;A,4,5,4,5,Empoli,9,7,destro,Italia;Venezuela,11/10/2001 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/MALDINI.png?v=35,0,0.0,0.0
6011,Ekong,Ekong Emmanuel,A,A,1,1,1,1,Empoli,1,1,destro,Svezia;Nigeria,25/06/2002 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,0,0.0,0.0
2819,Caputo,Caputo Francesco,A,Pc,14,15,14,15,Empoli,52,48,destro,Italia,06/08/1987 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/CAPUTO.png?v=35,0,5.67,5.67
4359,Piccoli,Piccoli Roberto,A,Pc,7,7,6,6,Lecce,8,7,destro,Italia,27/01/2001 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/PICCOLI.png?v=35,0,5.83,5.83
2294,Cerofolini,Cerofolini Michele,P,Por,2,1,2,1,Frosinone,1,1,destro,Italia,04/01/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,0,6.5,5.5
6184,Martinelli T.,Martinelli Tommaso,P,Por,1,1,1,1,Fiorentina,1,1,destro,Italia,06/01/2006 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,0,0.0,0.0
2815,Terracciano,Terracciano Pietro,P,Por,10,10,10,10,Fiorentina,14,14,destro,Italia,08/03/1990 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/TERRACCIANO.png?v=35,0,6.0,5.0
5323,Martinez Quarta,Martinez Quarta Lucas,D,Dc,5,6,5,6,Fiorentina,7,7,destro,Argentina;Italia,10/05/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/MARTINEZ-QUARTA.png?v=35,0,5.0,4.5
